X,Y,Slice,DX,DY,Orientation,Coherency,Energy
46,48,0,-0.493,0.869,60.420,0.383,0.252
96,48,0,-0.593,0.803,53.522,0.299,0.239
146,48,0,-0.746,0.662,41.581,0.252,0.241
196,48,0,-0.848,0.527,31.882,0.279,0.270
246,48,0,-0.895,0.444,26.403,0.331,0.331
296,48,0,-0.927,0.374,21.972,0.375,0.411
346,48,0,-0.950,0.309,18.029,0.414,0.477
396,48,0,-0.964,0.265,15.376,0.456,0.505
446,48,0,-0.969,0.246,14.239,0.507,0.503
496,48,0,-0.972,0.235,13.567,0.567,0.501
546,48,0,-0.977,0.212,12.213,0.621,0.520
596,48,0,-0.984,0.178,10.259,0.646,0.555
646,48,0,-0.990,0.138,7.947,0.639,0.588
696,48,0,-0.996,0.089,5.111,0.617,0.607
746,48,0,-0.999,0.040,2.277,0.610,0.606
796,48,0,-1.000,0.007,0.399,0.627,0.578
846,48,0,-1.000,-0.008,-0.445,0.661,0.523
896,48,0,-1.000,-0.011,-0.616,0.704,0.468
946,48,0,-1.000,-0.009,-0.489,0.740,0.432
996,48,0,-1.000,-0.012,-0.695,0.759,0.412
1046,48,0,-0.999,-0.033,-1.873,0.766,0.402
1096,48,0,-0.997,-0.071,-4.051,0.773,0.406
1146,48,0,-0.994,-0.112,-6.449,0.784,0.429
1196,48,0,-0.990,-0.143,-8.196,0.794,0.459
1246,48,0,-0.988,-0.157,-9.047,0.799,0.482
1296,48,0,-0.987,-0.163,-9.366,0.797,0.485
1346,48,0,-0.986,-0.166,-9.562,0.789,0.466
1396,48,0,-0.986,-0.168,-9.677,0.771,0.431
1446,48,0,-0.986,-0.167,-9.613,0.741,0.398
1496,48,0,-0.987,-0.162,-9.337,0.707,0.387
1546,48,0,-0.988,-0.155,-8.910,0.691,0.409
1596,48,0,-0.989,-0.147,-8.460,0.693,0.455
1646,48,0,-0.990,-0.139,-7.980,0.692,0.508
1696,48,0,-0.991,-0.132,-7.566,0.684,0.560
1746,48,0,-0.991,-0.130,-7.471,0.675,0.612
1796,48,0,-0.991,-0.135,-7.757,0.666,0.644
1846,48,0,-0.990,-0.142,-8.173,0.657,0.642
1896,48,0,-0.990,-0.144,-8.278,0.650,0.630
1946,48,0,-0.991,-0.135,-7.745,0.650,0.645
1996,48,0,-0.993,-0.117,-6.713,0.662,0.678
2046,48,0,-0.995,-0.095,-5.466,0.684,0.698
2096,48,0,-0.997,-0.072,-4.102,0.706,0.686
2146,48,0,-0.999,-0.048,-2.747,0.726,0.661
2196,48,0,-1.000,-0.028,-1.631,0.744,0.639
2246,48,0,-1.000,-0.014,-0.792,0.752,0.615
2296,48,0,-1.000,-0.002,-0.113,0.744,0.577
2346,48,0,-1.000,0.004,0.244,0.724,0.535
2396,48,0,-1.000,-4.602E-4,-0.026,0.708,0.504
2446,48,0,-1.000,-0.012,-0.670,0.706,0.491
2496,48,0,-1.000,-0.018,-1.028,0.718,0.498
2546,48,0,-1.000,-0.014,-0.818,0.729,0.516
2596,48,0,-1.000,-0.003,-0.175,0.734,0.530
2646,48,0,-1.000,0.012,0.710,0.732,0.533
2696,48,0,-0.999,0.031,1.777,0.717,0.537
2746,48,0,-0.999,0.052,2.972,0.692,0.558
2796,48,0,-0.998,0.068,3.917,0.673,0.596
2846,48,0,-0.997,0.073,4.173,0.666,0.629
2896,48,0,-0.998,0.065,3.756,0.667,0.646
2946,48,0,-0.999,0.051,2.913,0.676,0.652
2996,48,0,-0.999,0.033,1.912,0.697,0.641
3046,48,0,-1.000,0.017,0.983,0.717,0.601
3096,48,0,-1.000,0.008,0.444,0.727,0.540
3146,48,0,-1.000,0.011,0.603,0.727,0.486
3196,48,0,-1.000,0.022,1.245,0.733,0.468
3246,48,0,-0.999,0.033,1.863,0.751,0.485
3296,48,0,-0.999,0.040,2.317,0.775,0.509
3346,48,0,-0.999,0.045,2.566,0.793,0.523
3396,48,0,-0.999,0.046,2.653,0.799,0.525
3446,48,0,-0.999,0.049,2.833,0.792,0.532
3496,48,0,-0.998,0.056,3.193,0.778,0.543
3546,48,0,-0.998,0.060,3.428,0.761,0.546
3596,48,0,-0.998,0.056,3.189,0.740,0.531
3646,48,0,-0.999,0.043,2.485,0.721,0.503
3696,48,0,-1.000,0.029,1.662,0.716,0.474
3746,48,0,-1.000,0.018,1.037,0.731,0.455
3796,48,0,-1.000,0.012,0.711,0.752,0.448
3846,48,0,-1.000,0.010,0.601,0.762,0.446
3896,48,0,-1.000,0.010,0.549,0.751,0.432
3946,48,0,-1.000,0.010,0.553,0.716,0.399
3996,48,0,-1.000,0.014,0.797,0.657,0.356
4046,48,0,-1.000,0.029,1.678,0.587,0.321
