X,Y,Slice,DX,DY,Orientation,Coherency,Energy
40,34,0,-0.889,0.459,27.311,0.706,0.445
90,34,0,-0.883,0.469,27.940,0.699,0.460
140,34,0,-0.874,0.485,29.039,0.677,0.474
190,34,0,-0.857,0.516,31.044,0.639,0.484
240,34,0,-0.827,0.562,34.198,0.586,0.496
290,34,0,-0.787,0.617,38.104,0.520,0.520
340,34,0,-0.737,0.675,42.491,0.435,0.556
390,34,0,-0.681,0.732,47.101,0.338,0.586
440,34,0,-0.658,0.753,48.866,0.258,0.600
490,34,0,-0.737,0.674,42.455,0.234,0.606
540,34,0,-0.832,0.553,33.614,0.288,0.614
590,34,0,-0.867,0.499,29.938,0.361,0.614
640,34,0,-0.875,0.484,28.917,0.405,0.588
690,34,0,-0.886,0.464,27.637,0.423,0.544
740,34,0,-0.901,0.433,25.679,0.433,0.519
790,34,0,-0.917,0.399,23.509,0.455,0.542
840,34,0,-0.934,0.357,20.919,0.494,0.601
890,34,0,-0.950,0.313,18.222,0.541,0.644
940,34,0,-0.961,0.276,16.000,0.573,0.634
990,34,0,-0.971,0.241,13.929,0.581,0.581
1040,34,0,-0.980,0.197,11.370,0.575,0.523
1090,34,0,-0.988,0.151,8.659,0.570,0.489
1140,34,0,-0.994,0.113,6.490,0.567,0.482
1190,34,0,-0.997,0.081,4.659,0.549,0.478
1240,34,0,-0.999,0.050,2.852,0.503,0.459
1290,34,0,-1.000,0.023,1.319,0.423,0.428
1340,34,0,-1.000,0.004,0.225,0.327,0.399
1390,34,0,-0.999,-0.030,-1.721,0.263,0.383
1440,34,0,-0.995,-0.091,-5.198,0.257,0.382
1490,34,0,-0.991,-0.133,-7.651,0.284,0.389
1540,34,0,-0.988,-0.150,-8.657,0.299,0.396
1590,34,0,-0.983,-0.179,-10.344,0.282,0.399
1640,34,0,-0.969,-0.244,-14.146,0.245,0.408
1690,34,0,-0.952,-0.304,-17.724,0.204,0.428
1740,34,0,-0.966,-0.250,-14.483,0.161,0.448
1790,34,0,-0.995,0.006,0.350,0.149,0.457
1840,34,0,-0.973,0.225,13.014,0.199,0.450
1890,34,0,-0.960,0.280,16.278,0.245,0.435
